Feature,Importance
loan_affordability_index,0.13218862
current_emi_amount,0.12422709
house_type,0.107985884
combined_credit_risk,0.085886344
affordability_ratio,0.071001165
requested_tenure,0.067344226
debt_to_income_ratio,0.053328667
monthly_salary,0.043603584
expense_to_income_ratio,0.043017343
requested_amount,0.0375926
emi_scenario,0.030773828
bank_balance,0.023508118
employment_type_Private,0.021652786
credit_score,0.020843342
employment_type_Self-employed,0.020141734
credit_score_numeric,0.015936857
total_expenses,0.014722707
credit_stability_score,0.012132267
savings_to_income_ratio,0.011293357
emergency_fund,0.010932298
education,0.0064301207
employment_tenure_category,0.006194078
income_per_family_member,0.005466114
is_long_term_employed,0.005288606
gender_FEMALE,0.0049917223
age_group,0.0049260245
marital_status_Married,0.0048274505
dependents,0.0047212467
company_type,0.0045798174
family_size,0.0044620493
